id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,license,number_of_reviews_ltm
889996954363341084,Valencia Flat w/Parking,43640339,Brendan,Mission,37.75726334,-122.42277076,entire home/apt,0.00,30,0,,,1,87,,0
926304840875161600,SF07 - Cozy Home with View,36795000,Doris,Inner Richmond,37.77751289,-122.45076224,private room,0.00,30,0,,,1,48,,0
929594887675210062,2 Connecting Hotel Suites - 4 beds,326084746,Suiteness,Financial District,37.79437200,-122.39584300,private room,0.00,1,0,,,47,119,Exempt,0
943717196568627912,Lovely Union Square Location - Hotel Style Studio,70722023,Michael,Chinatown,37.79081000,-122.40570000,entire home/apt,0.00,1,2,2024-01-11,0.17,74,0,Exempt,2
962558114679179602,Loft top,44565,Augu,South of Market,37.77490000,-122.40913000,entire home/apt,0.00,30,0,,,1,270,,0
1016814331077181686,81E Parkside 3-4 bd/4 ba remodeled,131200418,Lois,Parkside,37.74246274,-122.47438402,entire home/apt,0.00,30,2,2024-06-15,0.42,19,364,,2
896295101209353406,Room in Bright & Spacious Home,1600680,Dean,Ocean View,37.71902000,-122.45382000,private room,0.00,2,1,2023-06-25,0.07,4,0,STR-0005670,0
896522872407098436,House steps from the ocean,219335040,Julita,Outer Richmond,37.77379000,-122.50986000,entire home/apt,0.00,2,10,2024-07-06,0.70,2,0,STR-0006601,7
1071874400412409288,Terrific Two Bedroom Apt in SF | 95 Walk Score,2343138,ReRent,South of Market,37.78750000,-122.39087000,entire home/apt,0.00,2,3,2024-02-13,0.42,5,0,2024-000509STR,3
1111918518315068227,Cozy Mission Home with Speakeasy,196398,Josh,Mission,37.75893700,-122.40849600,entire home/apt,0.00,30,0,,,1,0,,0
897809422446028171,Sunny Victorian: Charming & Safe,60445352,Michael,Noe Valley,37.75290520,-122.43117470,entire home/apt,0.00,3,0,,,1,0,2023-004803STR,0
1160894382330713691,"Fab 2 Story Loft! 
September Rental",94502568,Barbara,Potrero Hill,37.75782840,-122.39389610,entire home/apt,0.00,30,0,,,1,44,,0
7923146,Sunny 2b/1b with great Bay views!!!,41781093,Virginia,North Beach,37.80226000,-122.40818000,entire home/apt,0.00,2,175,2024-08-11,1.61,1,2,STR-0005824,19
8033268,Downtown Union Sq TS/Hotel Studio,6346492,Dana,Downtown/Civic Center,37.78838000,-122.41132000,private room,0.00,2,5,2016-10-08,0.05,29,0,1078479,0
1614453,Union Square Hotel/Timeshare Studio,6346492,Dana,Downtown/Civic Center,37.78908000,-122.40915000,private room,0.00,2,55,2017-05-04,0.41,29,0,1078479,0
1629740,Large Timeshare/Hotel Rm (Union Sq),6346492,Dana,Downtown/Civic Center,37.78888000,-122.41072000,private room,0.00,1,55,2017-10-27,0.41,29,0,1078479,0
9156193,Central USq Timeshare/Hotel Studio,6346492,Dana,Downtown/Civic Center,37.78677000,-122.41104000,private room,0.00,2,2,2016-09-21,0.02,29,0,1078479,0
10164802,Inn @ the Opera,52178915,Jim,Downtown/Civic Center,37.77820000,-122.42303000,entire home/apt,0.00,2,76,2024-08-02,1.01,50,0,Exempt,11
10577391,Donatello Hotel_,52178915,Jim,Downtown/Civic Center,37.78680000,-122.41143000,entire home/apt,0.00,2,73,2023-12-14,0.71,50,0,Exempt,3
1038324,Awesome Mission spot for travelers,5716115,Shirin,Mission,37.75217000,-122.40954000,private room,0.00,30,101,2024-02-06,0.74,1,338,,3
36145583,Comfy Apartment in SF,271864698,Araceli,Inner Richmond,37.77590000,-122.46311000,private room,0.00,30,0,,,1,0,,0
37893350,Good room walk to beach.,1144980,Victor,Lakeshore,37.71511000,-122.49711000,private room,0.00,30,0,,,2,0,,0
40165117,Beautiful Spacious apartment in Noe Valley,8577866,Dana,Noe Valley,37.75436000,-122.42616000,entire home/apt,0.00,30,0,,,2,0,,0
36148199,"The Americania Hotel, Superior King",269581043,The Americania Hotel,South of Market,37.77264000,-122.40991000,private room,0.00,1,6,2020-02-18,0.10,2,365,Exempt,0
18470412,"SALESFORCE / DREAMFORCE - San Francisco, CA",85132,Sanford Sandy,Chinatown,37.79147000,-122.40629000,private room,0.00,2,3,2019-01-11,0.04,15,365,421763,0
18473036,San Francisco DREAMFORCE,85132,Sanford Sandy,Financial District,37.78943000,-122.40608000,private room,0.00,2,7,2023-04-26,0.10,15,357,421763,0
33115368,SOMA Condo,1747847,Karina,South of Market,37.77341000,-122.39860000,entire home/apt,0.00,30,0,,,1,0,,0
18474596,RSA Accommodations - San Francisco,85132,Sanford Sandy,Chinatown,37.79104000,-122.40793000,private room,0.00,2,2,2022-09-23,0.03,15,365,421763,0
39061848,Golden Gate Park - USF Designers Home,7413885,Rob,Inner Richmond,37.77572000,-122.46043000,entire home/apt,0.00,30,0,,,1,0,,0
34819995,"Cozy, Stylish Designer Studio in Nob Hill!",59251928,Amanda,Downtown/Civic Center,37.78843000,-122.41578000,entire home/apt,0.00,30,2,2024-05-22,0.16,1,0,STR-0004476,1
34845930,Heart of Pacific Heights,16686660,Megan,Pacific Heights,37.79122000,-122.43229000,private room,0.00,30,0,,,1,0,,0
31623662,Inn at the Opera.  Oversize 1 Bdrm,52178915,Jim,Downtown/Civic Center,37.77907000,-122.42110000,entire home/apt,0.00,2,17,2024-06-14,0.28,50,0,Exempt,5
43635205,SOMA apartments 1 BR summer sublet,104635458,Eun Youb,South of Market,37.78268000,-122.39888000,entire home/apt,0.00,190,0,,,1,0,,0
42814290,Beautiful custom  condoCANNOT BE RENTED FOR<30 DAY,14380818,Stephen,Western Addition,37.78780000,-122.44031000,entire home/apt,0.00,31,0,,,1,0,,0
26334895,#F15 - Spacious Private Room in Startup House,141944806,Bed|N|Build #6,Nob Hill,37.79240000,-122.41952000,private room,0.00,365,0,,,13,0,,0
32501596,Donatello Hotel*_,52178915,Jim,Downtown/Civic Center,37.78873000,-122.40985000,entire home/apt,0.00,2,45,2024-05-09,0.69,50,0,Exempt,7
40914346,Cozy spacious 2 bedroom 2 bathroom house available,29335048,Derek,Lakeshore,37.73178000,-122.48923000,entire home/apt,0.00,30,0,,,1,0,,0
39721040,Garden Studio in Marina,128311917,Ron,Marina,37.80033000,-122.42738000,entire home/apt,0.00,30,0,,,4,0,,0
