Delivery Id,Origin_Location,Destination_Location,region,created_at,actual_delivery_time,On time Delivery,Customer_rating,condition_text,Fixed Costs,Maintenance,Difference,Area,Delivery_Time
MVCV0000927/082021,"TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Karnataka,2/6/15 22:24,2/6/15 23:27,1,4,Partly cloudy,10503,1012,9491,Rural,61
VCV00014271/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/10/15 21:49,2/10/15 22:56,1,5,Sunny,6092,1562,4530,Rural,62
VCV00014382/082021,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,1/22/15 20:39,1/22/15 21:09,1,3,cloudy ,11931,1324,10607,Rural,38
VCV00014743/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/3/15 21:21,2/3/15 22:13,1,3,Cloudy,7428,560,6868,Rural,49
VCV00014744/082021,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Pondichery,2/15/15 2:40,2/15/15 3:20,1,3,Cloudy,6735,648,6087,Rural,39
VCV00014749/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/28/15 20:30,1/28/15 21:08,1,3,Cloudy,7064,416,6648,Rural,25
VCV00014750/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,1/31/15 2:16,1/31/15 2:43,0,1,Mist,6981,625,6357,Rural,29
VCV00014812/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/12/15 3:03,2/12/15 3:36,1,5,Sunny,6770,506,6264,Rural,35
MVCV0001769/082021,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Karnataka,2/16/15 0:11,2/16/15 0:38,1,5,Sunny,10154,1240,8914,Rural,67
VCV00014665/082021,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Tamil Nadu,2/18/15 1:15,2/18/15 2:08,0,1,Mist,6949,263,6686,Rural,75
