"delivery_id","origin_location","destination_location","region","created_at","actual_delivery_time","on_time_delivery","customer_rating","condition_text","fixed_costs","maintenance","different","area","delivery_time","data_create_date"
"MVCV0000927/082021","TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA","Karnataka","2015-02-06 22:24:00","2015-02-06 23:27:00",True,4,"Partly cloudy",10503,1012,9491,"Rural",61,"2025-05-07 15:05:06.38629"
"VCV00014271/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-10 21:49:00","2015-02-10 22:56:00",True,5,"Sunny",6092,1562,4530,"Rural",62,"2025-05-07 15:05:06.38629"
"VCV00014382/082021","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-01-22 20:39:00","2015-01-22 21:09:00",True,3,"cloudy ",11931,1324,10607,"Rural",38,"2025-05-07 15:05:06.38629"
"VCV00014743/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-03 21:21:00","2015-02-03 22:13:00",True,3,"Cloudy",7428,560,6868,"Rural",49,"2025-05-07 15:05:06.38629"
"VCV00014744/082021","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-02-15 02:40:00","2015-02-15 03:20:00",True,3,"Cloudy",6735,648,6087,"Rural",39,"2025-05-07 15:05:06.38629"
"VCV00014749/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-28 20:30:00","2015-01-28 21:08:00",True,3,"Cloudy",7064,416,6648,"Rural",25,"2025-05-07 15:05:06.38629"
"VCV00014750/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-31 02:16:00","2015-01-31 02:43:00",False,1,"Mist",6981,625,6357,"Rural",29,"2025-05-07 15:05:06.38629"
"VCV00014812/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-12 03:03:00","2015-02-12 03:36:00",True,5,"Sunny",6770,506,6264,"Rural",35,"2025-05-07 15:05:06.38629"
"MVCV0001769/082021","ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","Karnataka","2015-02-16 00:11:00","2015-02-16 00:38:00",True,5,"Sunny",10154,1240,8914,"Rural",67,"2025-05-07 15:05:06.38629"
"VCV00014665/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-18 01:15:00","2015-02-18 02:08:00",False,1,"Mist",6949,263,6686,"Rural",75,"2025-05-07 15:05:06.38629"
"VCV00014745/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-02 19:22:00","2015-02-02 20:09:00",True,5,"Partly cloudy",10792,1220,9572,"Rural",68,"2025-05-07 15:05:06.38629"
"VCV00014866/082021","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA","TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","Tamil Nadu","2015-02-16 04:19:00","2015-02-16 06:34:00",False,1,"Patchy rain possible",7218,882,6337,"Rural",64,"2025-05-07 15:05:06.38629"
"VCV00014879/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-07 01:34:00","2015-02-07 02:17:00",True,5,"Partly cloudy",5184,897,4288,"Rural",44,"2025-05-07 15:05:06.38629"
"VCV00014872/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-01-25 01:50:00","2015-01-25 02:28:00",True,4,"Overcast",7143,390,6753,"Rural",57,"2025-05-07 15:05:06.38629"
"VCV00014554/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-12 03:36:00","2015-02-12 04:14:00",True,5,"Partly cloudy",7160,388,6773,"Rural",78,"2025-05-07 15:05:06.38629"
"VCV00014571/082021","LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","Pondichery","2015-01-27 02:12:00","2015-01-27 03:02:00",True,5,"Sunny",8168,325,7843,"Rural",53,"2025-05-07 15:05:06.38629"
"VCV00014582/082021","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","Tamil Nadu","2015-02-06 00:42:00","2015-02-06 02:10:00",False,1,"Mist",6575,791,5783,"Rural",64,"2025-05-07 15:05:06.38629"
