"overall_parent_ngb","overall_year","financial_year","membership_bucket_def","revenue_bucket_def","staff_bucket_def","ceo_salary","membership_bucket","membership_size","revenue_bucket","staff_bucket","staff_size","total_expenses","total_revenue"
"US Bobsled & Skeleton Federation",2018,"Jul 1 - Jun 30","< 10,000","$2M-$10M","10-30",205260,4,164,3,3,16,3569432,3569432
"US Ski and Snowboard Association",2018,"May 1 - Apr 30","30,000-100,000","> $20M","> 100",528429,2,34500,1,1,228,42843411,42843411
"USA Hockey",2018,"Sept 1 - Aug 31","> 100,000","> $20M","> 100",369527,1,637744,1,1,133,47911905,47911905
"US Figure Skating",2018,"Jul 1 - Jun 30","> 100,000","> $20M","30-100",363036,1,170000,1,2,58,23225838,23225838
"US Luge Association",2018,"Aug 1 - July 31","< 10,000","$2M-$10M","10-30",133894,4,722,3,3,21,3466759,3466759
"US Speed Skating",2018,"Jun 1 - May 31","< 10,000","$2M-$10M","10-30",227846,4,2300,3,3,19,5108952,5108952
"USA Curling",2018,"Jul 1 - Jun 30","10,000-30,000","$2M-$10M","10-30",110401,3,22500,3,3,12,3086110,3086110
"US Biathlon Association",2018,"Jul 1 - Jun 30","< 10,000","$2M-$10M","10-30",140000,4,900,3,3,10,3264943,3264943
"US Soccer Federation",2018,"Apr 1 - Mar 31","> 100,000","> $20M","> 100",836517,1,4729000,1,1,1487,109192197,109192197
"US Figure Skating",2019,"Jul 1 - Jun 30","> 100,000","> $20M","30-100",403206,1,192000,1,2,62,21990503,21990503
"USA Judo",2018,"Jan 1 - Dec 31","10,000-30,000","$2M-$10M","< 10",114039,3,10000,3,4,10,1946557,1946557
"USA Basketball",2018,"Oct 1 - Sept 30","n/a","$10M-$20M","10-30",440905,0,0,2,3,28,12049104,12049104
"USA Baseball",2018,"Nov 1 - Oct 31","n/a","$10M-$20M","> 100",294842,0,0,2,1,144,16340625,16340625
"USA Racquetball",2019,"Jan 1 - Dec 31","10,000-30,000","< $2M","< 10",92615,3,12000,4,4,5,1406833,1406833
"USA Climbing",2019,"Sept 1 - Aug 31","10,000-30,000","$2M-$10M","10-30",68307,3,15200,3,3,12,4261045,4261045
"USA Diving",2018,"Jan 1 - Dec 31","< 10,000","$2M-$10M","10-30",37500,4,9700,3,3,16,3261696,3261696
"USA Basketball",2019,"Oct 1 - Sept 30","n/a","$10M-$20M","10-30",469439,0,0,2,3,29,15926578,15926578
"USA Archery",2018,"Jan 1 - Dec 31","10,000-30,000","$2M-$10M","10-30",161743,3,20000,3,3,18,4284537,4284537
"USA Roller Sports",2019,"Jan 1 - Dec 31","< 10,000","< $2M","10-30",72080,4,7500,4,3,11,1348173,1348173
"USA Water Pold",2019,"Jan 1 - Dec 31","30,000-100,000","$10M-$20M","> 100",478251,2,50000,2,1,330,12777651,12777651
"USA Water Polo",2018,"Jan 1 - Dec 31","30,000-100,000","$10M-$20M","> 100",493622,2,45000,2,1,296,11392825,11392825
"US Squash",2018,"Jul 1 - Jun 30","10,000-30,000","$10M-$20M","30-100",242837,3,19300,2,2,36,5827679,5827679
"USA Skateboarding",2018,"Jan 1 - Dec 31","n/a","n/a","n/a",0,0,0,0,0,0,0,0
"USA Weightlifting",2019,"Jan 1 - Dec 31","10,000-30,000","$2M-$10M","10-30",164568,3,27000,3,3,15,7614522,7614522
"USA Team Handball",2018,"Jul 1 - Jun 30","< 10,000","< $2M","< 10",113854,4,800,4,4,4,639966,639966
"USA Artistic Swimming",2018,"Jan 1 - Dec 31","< 10,000","< $2M","< 10",5820,4,6000,4,4,7,1599130,1599130
"USA Cycling",2018,"Jan 1 - Dec 31","> 100,000","$10M-$20M","30-100",425190,1,100000,2,2,72,16081663,16081663
"USA Field Hockey",2019,"Jan 1 - Dec 31","30,000-100,000","$2M-$10M","30-100",201517,2,30307,3,2,31,9469722,9469722
"USA Golf",2019,"Jan 1 - Dec 31","n/a","< $2M","< 10",0,0,0,4,4,0,72958,72958
"USA Surfing",2019,"Jan 1 - Dec 31","< 10,000","< $2M","n/a",79182,4,6548,4,0,0,851081,851081
"USA Track & Field",2019,"Jan 1 - Dec 31","> 100,000","> $20M","> 100",0,1,130000,1,1,0,37236290,37236290
